timestamp,action,instance_id,instance_type,hourly_rate,notes
2026-03-11T17:35:57Z,launch,f646052602f74be8b8e2c5b118e7ab91,gpu_1x_a10,0.00,
2026-03-11T17:39:52Z,stop,f646052602f74be8b8e2c5b118e7ab91,,,
